id;clave_medicamento;nombre;presentacion;lote;cantidad;cantidad_minima;fecha_caducidad;ubicacion;controlado
1;lest except;wee;making oh highly;propound unusual decongestant;4749;15748;2026-02-26;yum;false
2;while;yahoo cockroach;dude;handy electronics however;4447;29670;2026-02-26;result;false
3;softly;gosh ouch healthily;argue hay failing;like hidden;8413;28172;2026-02-26;rail athwart;false
4;gah;hike psst;fondly;solicitor indolent brisk;13609;19378;2026-02-26;outpoint queasily;false
5;indeed ew;or cardboard;half;for;7035;19106;2026-02-26;tug far since;false
6;erX;while;hmX;tough next harpsichord;30930;27269;2026-02-26;how jumpsuit yet;true
7;occasional serene times;whenever;classic but even;from incubation;8348;28415;2026-02-26;following huzzah;false
8;modulo;remark;high-level or while;athwart glister;1693;20185;2026-02-26;yum;true
9;nonstop;a but;suspicious warrant;gummy;23852;27635;2026-02-26;after lightly;false
10;but not;weepy which gee;militarize gah;from however jaggedly;5091;30633;2026-02-26;assistant;false
